"CODE","pt-br"
"FIF_SET_UIVP","Desativar a interface adicional do 'Find It 2' no painel original (necessário reiniciar)"
"FIF_SET_UIVPTP","Incluindo: ícones de marcador personalizado,  ícones da steam, ícones dos pacote de expansão (DLC)"
"FIF_DOU_MESH","Visualizar informações da Malha"
"FIF_DOU_MESHNO","O mod 'Mesh Info' não está instalado ou ativo"
"FIF_DOU_MESHTYPE","O mod 'Mesh Info' suporta apenas itens personalizados que não sejam vias"
"FIF_DOU_MESHOPEN","Ver este item no mod 'Mesh Info'"
"FIF_DOU_RICO","Ver no mod 'RICO Revisited'"
"FIF_DOU_RICONO","O mod 'Ploppable RICO Revisited' não está instalado ou ativo"
"FIF_DOU_RICOTYPE","O mod 'Ploppable RICO Revisited' suporta apenas itens do tipo Construções"
"FIF_DOU_RICOOPEN","Ver este item no mod 'Ploppable RICO Revisited'"
"FIF_DOU_FOLD","Abrir pasta do arquivo"
"FIF_DOU_FOLDCUS","Este recurso funciona apenas com itens personalizados"
"FIF_DOU_FOLDOPEN","Abrir a pasta principal deste item"
"FIF_UIS_CNWS","Item personalizado que não seja da Oficina"
"FIF_NET_BUS","Faixas de Ônibus"
"FIF_NET_TRO","Faixas de Ônibus Elétrico"
"FIF_NET_BIK","Ciclovias"
"FIF_NET_TRM","Trilhos de Bonde (VLT)"
"FIF_NET_MET","Metrô"
"FIF_SET_REC","Método de organização por baixado recentemente (necessário reiniciar)"
"FIF_SET_RECPC","Data de criação da pasta principal"
"FIF_SET_RECPM","Data de modificação da pasta principal"
"FIF_SET_RECFC","Data de criação do arquivo CRP"
"FIF_SET_RECFM","Data de modificação do arquivo CRP"
"FIF_SET_DIS","Desativar busca de texto instantânea. Aperte ENTER para enviar uma nova pesquisa de texto"
"FIF_SET_DISTP","Use esta opção para reduzir o lag da interface quando digitar na caixa de pesquisa"
"FIF_SET_STAB","Mostrar aba de busca"
"FIF_STAB_NTAB","Nova aba"
"FIF_SET_DSK","Desativar teclas de atalho secundárias quando o painel do 'Find It' for fechado"
"FIF_SET_DSKTP","Evita conflitos com o 'TM:PE'. Apenas as teclas de atalho principais vão permanecer funcionado quando o painel do 'Find It' for fechado"
"FIF_SET_CFFL","Local do arquivo de configuração"
"FIF_DOU_WS","Página da Oficina da Steam"
"FIF_DOU_WS_STEAM","através da Steam"
"FIF_DOU_WS_BROWSER","através do navegador padrão"
"FIF_DOU_WS_NOID","Esta função funciona apenas com itens baixados com a identificação da Oficina da Steam"
"FIF_DOU_WS_STEAMTP","Ver este item na Oficina da Steam usando a sobreposição da Steam"
"FIF_DOU_WS_BROWSERTP","Ver este item na Oficina da Steam usando o navegador padrão"
"FIF_SET_RES_PANEL","Redefinir o painel do Find It quando fechado"
"FIF_SET_RES_PANELTP","Redefine todas opções do Find It quando o painel for fechado"
"FIF_SE_ICONTP","Exportar resultado da pesquisa"
"FIF_EXPORT_SEARCH","Isto irá exportar os resultados da pesquisa em um arquivo HTML"
"FIF_EF_DS","Estilo do Distrito"
"FIF_SET_CHA","Allow asset creators to hide dependency assets from search results"
"FIF_SET_CHATP","assets with creator_hidden in their description will be excluded from future search results"
"FIF_GR_RW2W","Residential Wall-to-Wall"
"FIF_GR_CW2W","Commercial Wall-to-Wall"
"FIF_GR_OW2W","Office Wall-to-Wall"
"FIF_NET_ZPATH","Zonable Paths"
"FIF_PLOP_SP","Service Points"
